2024-08-09 12:09:48.135668|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2024-08-09 12:09:48.173667|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (19045) x64 (AMD or Intel) Binary: 64bit
2024-08-09 12:09:48.183667|INFO    |ServerLibPriv |   |Using hardware aes
2024-08-09 12:09:48.236668|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2024-08-09 12:09:48.237671|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2024-08-09 12:09:48.247669|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2024-08-09 12:09:48.878669|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2024-08-09 12:09:49.003670|INFO    |Accounting    |   |Licensing Information
2024-08-09 12:09:49.003670|INFO    |Accounting    |   |licensed to       : Anonymous
2024-08-09 12:09:49.003670|INFO    |Accounting    |   |type              : No License
2024-08-09 12:09:49.003670|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2024-08-09 12:09:49.003670|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2024-08-09 12:09:49.003670|INFO    |Accounting    |   |max virtualservers: 1
2024-08-09 12:09:49.003670|INFO    |Accounting    |   |max slots         : 32
2024-08-09 12:09:51.225689|INFO    |              |   |Puzzle precompute time: 1773
2024-08-09 12:09:51.289688|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2024-08-09 12:09:51.399202|INFO    |Query         |   |Using a query thread pool size of 2
2024-08-09 12:09:51.675202|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2024-08-09 12:09:51.746203|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2024-08-09 12:09:51.752202|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2024-08-09 12:09:51.770202|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2024-08-09 12:09:51.861201|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2024-08-09 12:14:51.587180|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:14:53.036500|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:14:55.038194|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:24:51.635186|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:24:53.094255|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:24:55.055496|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:34:51.716305|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:34:53.044660|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:34:55.144832|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:44:51.679452|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:44:53.098399|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:44:55.071346|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:54:51.769436|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:54:53.096371|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 12:54:55.060234|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 13:04:51.796257|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-08-09 13:04:55.315257|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
