2024-07-03 18:10:11.858772|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2024-07-03 18:10:11.869771|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (19045) x64 (AMD or Intel) Binary: 64bit
2024-07-03 18:10:11.869771|INFO    |ServerLibPriv |   |Using hardware aes
2024-07-03 18:10:11.911771|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2024-07-03 18:10:11.911771|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2024-07-03 18:10:11.919771|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2024-07-03 18:10:12.524771|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2024-07-03 18:10:12.562770|INFO    |Accounting    |   |Licensing Information
2024-07-03 18:10:12.562770|INFO    |Accounting    |   |licensed to       : Anonymous
2024-07-03 18:10:12.562770|INFO    |Accounting    |   |type              : No License
2024-07-03 18:10:12.562770|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2024-07-03 18:10:12.562770|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2024-07-03 18:10:12.562770|INFO    |Accounting    |   |max virtualservers: 1
2024-07-03 18:10:12.562770|INFO    |Accounting    |   |max slots         : 32
2024-07-03 18:10:15.562881|INFO    |              |   |Puzzle precompute time: 2598
2024-07-03 18:10:15.571883|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2024-07-03 18:10:15.594883|INFO    |Query         |   |Using a query thread pool size of 2
2024-07-03 18:10:15.743881|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2024-07-03 18:10:15.750881|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2024-07-03 18:10:15.751881|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2024-07-03 18:10:15.756882|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2024-07-03 18:20:16.129449|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 18:20:18.131735|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 18:30:14.049344|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 18:30:16.042218|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 18:40:14.112579|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 18:40:16.126398|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 18:40:18.124765|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 18:50:14.180248|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 18:50:16.072543|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 18:50:18.091453|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 19:00:14.209367|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 19:00:16.095773|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 19:00:18.100379|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 19:10:14.275549|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-03 19:10:18.133762|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
