2024-06-17 14:52:46.150793|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2024-06-17 14:52:46.154338|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (19045) x64 (AMD or Intel) Binary: 64bit
2024-06-17 14:52:46.154338|INFO    |ServerLibPriv |   |Using hardware aes
2024-06-17 14:52:46.179936|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2024-06-17 14:52:46.179936|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2024-06-17 14:52:46.182939|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2024-06-17 14:52:46.288188|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2024-06-17 14:52:46.312403|INFO    |Accounting    |   |Licensing Information
2024-06-17 14:52:46.312403|INFO    |Accounting    |   |licensed to       : Anonymous
2024-06-17 14:52:46.312403|INFO    |Accounting    |   |type              : No License
2024-06-17 14:52:46.312403|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2024-06-17 14:52:46.312403|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2024-06-17 14:52:46.312403|INFO    |Accounting    |   |max virtualservers: 1
2024-06-17 14:52:46.312403|INFO    |Accounting    |   |max slots         : 32
2024-06-17 14:52:47.543761|INFO    |              |   |Puzzle precompute time: 1171
2024-06-17 14:52:47.550283|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2024-06-17 14:52:47.572852|INFO    |Query         |   |Using a query thread pool size of 2
2024-06-17 14:52:47.665427|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2024-06-17 14:52:47.670425|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2024-06-17 14:52:47.671425|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2024-06-17 14:52:47.675855|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2024-06-17 14:52:48.805041|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2024-06-17 15:02:43.394156|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-17 15:02:45.059237|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-17 15:02:47.044190|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-17 15:12:43.437433|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-17 15:12:45.106526|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-17 15:12:47.083583|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-17 15:22:43.374108|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-17 15:22:45.135395|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-17 15:22:47.123450|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-17 15:32:43.431485|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-17 15:32:45.062714|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-17 15:32:47.144604|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-17 15:42:43.541510|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-17 15:42:45.096720|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
