2024-06-22 21:28:06.419970|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2024-06-22 21:28:06.427972|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (19045) x64 (AMD or Intel) Binary: 64bit
2024-06-22 21:28:06.427972|INFO    |ServerLibPriv |   |Using hardware aes
2024-06-22 21:28:06.456971|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2024-06-22 21:28:06.456971|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2024-06-22 21:28:06.478999|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2024-06-22 21:28:06.705972|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2024-06-22 21:28:06.756971|INFO    |Accounting    |   |Licensing Information
2024-06-22 21:28:06.756971|INFO    |Accounting    |   |licensed to       : Anonymous
2024-06-22 21:28:06.756971|INFO    |Accounting    |   |type              : No License
2024-06-22 21:28:06.756971|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2024-06-22 21:28:06.756971|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2024-06-22 21:28:06.756971|INFO    |Accounting    |   |max virtualservers: 1
2024-06-22 21:28:06.756971|INFO    |Accounting    |   |max slots         : 32
2024-06-22 21:28:07.990971|INFO    |              |   |Puzzle precompute time: 989
2024-06-22 21:28:08.016970|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2024-06-22 21:28:08.038971|INFO    |Query         |   |Using a query thread pool size of 2
2024-06-22 21:28:08.250485|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2024-06-22 21:28:08.277485|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2024-06-22 21:28:08.277485|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2024-06-22 21:28:08.280486|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2024-06-22 21:33:08.129209|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-22 21:33:10.112976|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-22 21:43:08.223184|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-22 21:43:10.125661|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-22 21:53:08.372472|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-22 21:53:10.037720|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-22 21:53:12.050611|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-22 22:03:08.418969|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-22 22:03:10.076615|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-22 22:03:12.048541|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-22 22:13:08.450521|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-22 22:13:10.107880|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-06-22 22:13:12.093442|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
