2024-07-04 13:59:51.519521|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2024-07-04 13:59:51.524520|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (19045) x64 (AMD or Intel) Binary: 64bit
2024-07-04 13:59:51.524520|INFO    |ServerLibPriv |   |Using hardware aes
2024-07-04 13:59:51.550521|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2024-07-04 13:59:51.550521|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2024-07-04 13:59:51.553522|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2024-07-04 13:59:51.691521|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2024-07-04 13:59:51.715520|INFO    |Accounting    |   |Licensing Information
2024-07-04 13:59:51.715520|INFO    |Accounting    |   |licensed to       : Anonymous
2024-07-04 13:59:51.715520|INFO    |Accounting    |   |type              : No License
2024-07-04 13:59:51.715520|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2024-07-04 13:59:51.715520|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2024-07-04 13:59:51.716520|INFO    |Accounting    |   |max virtualservers: 1
2024-07-04 13:59:51.716520|INFO    |Accounting    |   |max slots         : 32
2024-07-04 13:59:53.352519|INFO    |              |   |Puzzle precompute time: 1447
2024-07-04 13:59:53.361521|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2024-07-04 13:59:53.383521|INFO    |Query         |   |Using a query thread pool size of 2
2024-07-04 13:59:53.515520|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2024-07-04 13:59:53.524520|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2024-07-04 13:59:53.524520|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2024-07-04 13:59:53.533523|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2024-07-04 14:09:53.571941|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:09:55.131018|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:09:57.032960|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:19:53.610973|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:19:55.077817|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:19:57.068067|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:29:53.614378|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:29:55.060913|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:29:57.064082|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:39:53.632262|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:39:55.079242|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:39:57.075847|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:49:53.820220|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:49:55.051525|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:49:57.035504|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:59:53.827380|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:59:55.072687|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 14:59:57.082406|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 15:09:53.796382|ERROR   |              |   |TS3ANetwork::Send failed error: 10022
2024-07-04 15:09:53.796382|ERROR   |              |   |TS3ANetwork::Send failed error: 10022
2024-07-04 15:09:55.002749|ERROR   |              |   |TS3ANetwork::Send failed error: 10022
2024-07-04 15:09:55.002749|ERROR   |              |   |TS3ANetwork::Send failed error: 10022
2024-07-04 15:09:57.054178|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 15:19:53.937533|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 15:19:55.069151|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 15:19:57.088059|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 15:29:53.949580|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 15:29:55.087386|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 15:29:57.097162|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 15:39:53.993609|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 15:39:55.141419|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 15:39:57.131837|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 15:49:54.114646|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-04 15:49:56.147081|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
