2024-06-26 16:36:26.522582|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2024-06-26 16:36:26.532582|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (19045) x64 (AMD or Intel) Binary: 64bit
2024-06-26 16:36:26.532582|INFO    |ServerLibPriv |   |Using hardware aes
2024-06-26 16:36:26.533582|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2024-06-26 16:36:26.533582|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2024-06-26 16:36:26.534581|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2024-06-26 16:36:26.758580|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2024-06-26 16:36:26.785583|INFO    |Accounting    |   |Licensing Information
2024-06-26 16:36:26.785583|INFO    |Accounting    |   |licensed to       : Anonymous
2024-06-26 16:36:26.785583|INFO    |Accounting    |   |type              : No License
2024-06-26 16:36:26.785583|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2024-06-26 16:36:26.785583|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2024-06-26 16:36:26.786581|INFO    |Accounting    |   |max virtualservers: 1
2024-06-26 16:36:26.786581|INFO    |Accounting    |   |max slots         : 32
2024-06-26 16:36:28.722581|INFO    |              |   |Puzzle precompute time: 1919
2024-06-26 16:36:28.731581|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2024-06-26 16:36:28.820582|INFO    |Query         |   |Using a query thread pool size of 2
2024-06-26 16:36:28.955582|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2024-06-26 16:36:28.958581|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2024-06-26 16:36:28.958581|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2024-06-26 16:36:28.960581|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
